id,key,value,type
32519003,name,Guildford,regular
32519003,place,suburb,regular
32519004,name,Midland,regular
32519004,place,town,regular
32519004,state,Western Australia,is_in
32519004,country,Australia,is_in
32519004,state_code,WA,is_in
32519004,country_code,AU,is_in
32519015,name,Scarborough,regular
32519015,place,suburb,regular
32519015,created_by,JOSM,regular
32519016,name,Mount Hawthorn,regular
32519016,place,suburb,regular
32519016,created_by,Potlatch 0.9c,regular
32521835,railway,switch,regular
32521836,railway,switch,regular
32521841,railway,level_crossing,regular
32521857,railway,switch,regular
32521869,railway,switch,regular
32521870,railway,switch,regular
32521871,railway,switch,regular
32521894,railway,switch,regular
32521896,railway,switch,regular
32521983,railway,level_crossing,regular
32522335,railway,level_crossing,regular
32522353,name,Success Hill,regular
32522353,railway,station,regular
32522353,operator,Transperth,regular
32522353,public_transport,station,regular
32522370,railway,crossing,regular
32522378,railway,level_crossing,regular
32522385,railway,level_crossing,regular
32522391,railway,level_crossing,regular
32522396,railway,station,regular
32523458,name,Burswood,regular
32523458,railway,station,regular
32523458,operator,Transperth,regular
32523458,public_transport,station,regular
32523484,railway,level_crossing,regular
32523486,name,Carlisle,regular
32523486,railway,station,regular
32523486,operator,Transperth,regular
32523486,public_transport,station,regular
32523495,railway,level_crossing,regular
32523694,railway,level_crossing,regular
32523702,name,Queens Park,regular
32523702,railway,station,regular
32523702,operator,Transperth,regular
32523702,public_transport,station,regular
32523706,name,Cannington,regular
32523706,railway,station,regular
32523706,operator,Transperth,regular
32523706,public_transport,station,regular
32523710,name,Beckenham,regular
32523710,railway,station,regular
32523710,operator,Transperth,regular
32523710,public_transport,station,regular
32523740,railway,level_crossing,regular
32523750,name,Maddington,regular
32523750,railway,station,regular
32523750,operator,Transperth,regular
32523750,public_transport,station,regular
32523751,railway,level_crossing,regular
32523758,railway,level_crossing,regular
32524147,railway,level_crossing,regular
32524151,name,Gosnells,regular
32524151,railway,station,regular
32524151,operator,Transperth,regular
32524151,public_transport,station,regular
32524154,railway,level_crossing,regular
32524411,name,Seaforth,regular
32524411,railway,station,regular
32524411,operator,Transperth,regular
32524411,public_transport,station,regular
32524665,bicycle,yes,regular
32524665,railway,crossing,regular
32524665,crossing,traffic_signals,regular
32525229,railway,level_crossing,regular
32525237,railway,level_crossing,regular
32525254,name,North Fremantle,regular
32525254,railway,station,regular
32525254,operator,Transperth,regular
32525254,public_transport,station,regular
32530215,highway,traffic_signals,regular
32530221,highway,traffic_signals,regular
32530235,highway,traffic_signals,regular
32530248,highway,traffic_signals,regular
32530400,created_by,JOSM,regular
32530402,created_by,JOSM,regular
32530408,created_by,JOSM,regular
32530410,created_by,JOSM,regular
32530411,created_by,JOSM,regular
32530412,highway,traffic_signals,regular
32530414,highway,turning_circle,regular
32530447,traffic_calming,hump,regular
32530448,traffic_calming,hump,regular
32531184,highway,traffic_signals,regular
32531185,highway,traffic_signals,regular
32531198,created_by,JOSM,regular
32531203,highway,traffic_signals,regular
32531247,created_by,JOSM,regular
32531248,created_by,JOSM,regular
32531249,created_by,JOSM,regular
32531250,created_by,JOSM,regular
32531265,created_by,JOSM,regular
32531266,created_by,JOSM,regular
